               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074685,            0.028267,            0.096221,            0.011478,             0.90126,            0.015316,           0.0097542,            0.032682,            0.017534,            0.094091,            0.070034,           0.0033295,           0.0033295
                   1,            0.039458,            0.022697,            0.093657,            0.012111,              0.9493,            0.018613,            0.013588,            0.024592,            0.014232,            0.092946,            0.039979,           0.0066079,           0.0066079
                   2,            0.034599,            0.019478,            0.092913,            0.013109,             0.97527,            0.024207,            0.017733,            0.025256,             0.01175,            0.091723,           0.0098693,           0.0098313,           0.0098313
                   3,            0.030122,            0.017384,            0.091184,             0.01493,             0.98629,            0.046348,            0.036882,            0.020639,           0.0099496,            0.088962,           0.0097525,           0.0097525,           0.0097525
                   4,            0.027256,            0.015715,            0.087495,             0.55623,             0.24641,             0.11569,            0.093907,            0.018492,           0.0093668,            0.083786,           0.0097525,           0.0097525,           0.0097525
                   5,            0.025785,            0.014671,            0.082289,             0.18739,             0.35767,             0.15942,             0.12979,            0.017608,            0.008818,            0.077268,             0.00967,             0.00967,             0.00967
                   6,            0.025941,            0.014278,             0.07429,             0.36285,             0.48532,             0.25671,             0.20836,            0.017822,           0.0082387,            0.066949,           0.0095875,           0.0095875,           0.0095875
                   7,            0.026274,            0.013755,             0.06585,             0.30037,             0.74757,             0.37673,             0.31194,            0.017768,           0.0078107,            0.057954,            0.009505,            0.009505,            0.009505
                   8,            0.026723,            0.013513,            0.057654,             0.37513,             0.79306,             0.46261,             0.37694,            0.018525,           0.0078812,             0.04983,           0.0094225,           0.0094225,           0.0094225
                   9,            0.027262,            0.013196,            0.050817,             0.43926,             0.88369,             0.51762,             0.42702,            0.017965,           0.0075427,            0.043108,             0.00934,             0.00934,             0.00934
                  10,            0.027347,            0.012969,            0.045115,             0.47486,             0.92162,             0.53848,             0.44613,            0.017872,           0.0073918,            0.037735,           0.0092575,           0.0092575,           0.0092575
                  11,            0.027072,            0.012907,            0.041241,             0.48486,             0.94954,             0.55215,             0.45806,            0.018163,           0.0072711,            0.034686,            0.009175,            0.009175,            0.009175
                  12,            0.026418,            0.012641,             0.03887,             0.49229,             0.95142,             0.57522,             0.48581,            0.016896,           0.0069572,            0.032721,           0.0090925,           0.0090925,           0.0090925
                  13,            0.026203,            0.012373,            0.037124,             0.50602,             0.92836,             0.61476,             0.52087,            0.017306,           0.0069438,            0.031609,             0.00901,             0.00901,             0.00901
                  14,            0.025589,            0.012183,            0.035606,             0.57012,             0.89986,             0.72065,             0.60908,            0.016595,           0.0069115,            0.029413,           0.0089275,           0.0089275,           0.0089275
                  15,            0.026003,            0.012326,            0.032707,             0.71696,             0.90094,             0.83958,             0.71378,            0.016493,            0.006902,            0.024771,            0.008845,            0.008845,            0.008845
                  16,            0.026846,            0.012478,            0.028698,             0.80656,             0.94459,             0.89272,             0.75916,            0.016612,           0.0068347,            0.020371,           0.0087625,           0.0087625,           0.0087625
                  17,            0.026677,            0.012298,            0.025146,             0.85461,             0.95198,             0.92382,             0.78337,            0.016742,           0.0067996,            0.016847,             0.00868,             0.00868,             0.00868
                  18,            0.027221,             0.01212,            0.021908,             0.89018,             0.96215,             0.93664,             0.80478,            0.016639,           0.0066439,            0.013423,           0.0085975,           0.0085975,           0.0085975
                  19,            0.027342,            0.012038,            0.019323,              0.9133,             0.96024,             0.95823,             0.82351,            0.016532,            0.006538,            0.011382,            0.008515,            0.008515,            0.008515
                  20,            0.027092,            0.012096,            0.017819,             0.94719,             0.96434,             0.97732,             0.84351,            0.015626,           0.0065192,           0.0093367,           0.0084325,           0.0084325,           0.0084325
                  21,            0.026971,             0.01193,            0.015518,             0.94571,             0.97391,             0.98011,             0.84934,             0.01611,           0.0065048,           0.0080411,             0.00835,             0.00835,             0.00835
                  22,            0.026777,            0.011922,            0.014944,             0.94403,             0.97937,             0.98015,             0.84991,            0.015618,           0.0064177,           0.0072881,           0.0082675,           0.0082675,           0.0082675
                  23,            0.026619,            0.011882,            0.014033,              0.9436,             0.98659,             0.97944,             0.84916,            0.015455,           0.0063857,           0.0064999,            0.008185,            0.008185,            0.008185
                  24,            0.026077,            0.011688,            0.013317,             0.94183,             0.98766,             0.97948,             0.85502,            0.015237,           0.0063915,           0.0062072,           0.0081025,           0.0081025,           0.0081025
                  25,            0.025882,            0.011639,             0.01256,             0.94312,             0.99226,             0.98032,             0.85743,            0.014848,           0.0062104,           0.0056792,             0.00802,             0.00802,             0.00802
                  26,            0.025723,            0.011538,            0.012018,             0.94338,             0.99288,             0.98052,             0.85848,            0.015161,           0.0062304,           0.0056182,           0.0079375,           0.0079375,           0.0079375
                  27,            0.025217,            0.011363,            0.011915,             0.95603,             0.98276,             0.98351,             0.86255,            0.014235,           0.0060814,            0.005277,            0.007855,            0.007855,            0.007855
                  28,            0.025081,            0.011174,            0.011239,             0.95297,             0.98483,             0.98313,             0.86358,            0.014083,           0.0060187,           0.0050552,           0.0077725,           0.0077725,           0.0077725
